Cidade,UF,População,Possui_Plano_Municipal,População_sem_Água,População_sem_Esgoto,População_sem_coleta_de_lixo,Domicílios_sujeitos_à_inundações
Itacuruba,PE,5013,Não,0.1,--,--,--
Nova Palmeira,PB,5011,Não,52.66,--,41.49,0
Guaraciama,MG,5005,Não,44.22,--,--,0
Ibertioga,MG,4999,Não,33.43,23.34,14.78,0
Itapura,SP,4994,Sim,21.91,31.92,5.01,0
Liberdade,MG,4994,Não,25.51,--,27.63,4.60
Currais,PI,4982,Não,0.00,--,73.36,17.80
Aceguá,RS,4981,Sim,75.79,--,40.01,--
Diamante do Norte,PR,4975,Não,0.02,28.46,17.49,0.90
Divino das Laranjeiras,MG,4969,Em elaboração,28.68,20.51,5.41,0
Lupionópolis,PR,4969,Sim,0.02,--,11.17,0
Harmonia,RS,4967,Sim,--,--,0.00,0
Muçum,RS,4967,Sim,15.8,89.93,15.44,40.00
Mirassolândia,SP,4966,Não,0.95,19.47,18.69,0.10
São Felipe D'Oeste,RO,4962,Não,76.00,--,76.00,0
Narandiba,SP,4950,Não,0.00,0.00,27.6,0
São João da Lagoa,MG,4949,Em elaboração,0.59,--,47.71,7.10
Janiópolis,PR,4948,Sim,0.02,--,18.01,0
Moeda,MG,4948,Não,61.78,--,33.55,11.60
Catuti,MG,4944,Não,55.72,82.95,41.63,0
Eliseu Martins,PI,4943,Em elaboração,1.05,--,15.03,0
Miravânia,MG,4939,Em elaboração,76.53,--,52.95,0
Monte Formoso,MG,4939,Não,61.81,69.63,63.49,4.10
Catingueira,PB,4938,Não,31.77,--,40.06,11.20
Bom Sucesso,PB,4937,Não,55.01,--,49.36,0
Pilõezinhos,PB,4937,Não,32.00,--,46.71,0
Japi,RN,4935,Em elaboração,0.00,--,--,--
Várzea Branca,PI,4930,Em elaboração,76.29,--,--,--
Japira,PR,4929,Sim,23.15,--,18.85,0
Espírito Santo do Turvo,SP,4926,Em elaboração,15.04,14.98,0.00,0
Pinheirinho do Vale,RS,4926,Sim,66.5,93.3,41.13,7.50
São José do Hortêncio,RS,4924,Sim,0.89,--,0.89,1.30
Leme do Prado,MG,4923,Sim,64.84,73.15,31.69,0
Alegrete do Piauí,PI,4921,Sim,18.72,--,--,5.30
Coronel João Pessoa,RN,4918,Em elaboração,77.63,--,34.93,0
Santana do Itararé,PR,4916,Sim,4.27,58.03,34.15,0.90
Boracéia,SP,4913,Sim,0.00,0.00,13.13,7.70
Gastão Vidigal,SP,4911,Não,17.63,18.27,0.00,0.10
Josenópolis,MG,4911,Não,48.4,71.00,46.47,0
Nossa Senhora de Nazaré,PI,4911,Não,18.55,--,49.09,0
Cocal de Telha,PI,4908,Em elaboração,0.18,--,15.3,2.20
Vitor Meireles,SC,4907,Sim,47.83,--,38.86,20.60
Barra Longa,MG,4905,Sim,56.82,--,--,--
Aparecida do Rio Negro,TO,4901,Sim,21.36,--,0.00,1.60
Miraguaí,RS,4899,Em elaboração,57.38,--,57.38,0
Porto Amazonas,PR,4899,Sim,0.02,20.02,34.7,23.30
Caturité,PB,4898,Sim,58.33,--,--,--
São Sebastião do Tocantins,TO,4898,Sim,17.19,--,--,--
Ribeirão do Largo,BA,4896,Em elaboração,93.34,30.00,--,--
Nova Araçá,RS,4890,Sim,28.02,--,28.02,0
Tapira,MG,4890,Não,42.02,--,--,0
Santo Antônio da Barra,GO,4886,Não,22.96,--,23.76,0
Jatobá do Piauí,PI,4885,Não,0.41,--,59.06,0
Pau D'Arco,TO,4885,Não,4.44,--,42.68,0
Floraí,PR,4883,Sim,0.02,73.64,5.8,0
Lagoinha,SP,4882,Em elaboração,32.92,34.02,35.17,0
Sampaio,TO,4876,Não,6.56,--,--,--
Claraval,MG,4873,Não,0.41,69.22,28.18,0
Indiana,SP,4873,Sim,0.00,0.00,14.47,2.10
Combinado,TO,4870,Em elaboração,10.41,--,14.33,0
Itabi,SE,4869,Não,3.7,--,24.01,--
Monte Horebe,PB,4867,Não,29.11,38.36,44.81,4.00
Santa Rosa do Tocantins,TO,4864,Sim,30.41,--,35.49,0
Salto do Itararé,PR,4862,Em elaboração,0.02,42.41,--,--
Santópolis do Aguapeí,SP,4856,Não,9.41,9.47,3.36,0
São João da Varjota,PI,4856,Não,0.00,--,44.85,0.20
Vermelho Novo,MG,4852,Sim,60.55,60.61,40.23,0
Lobato,PR,4850,Em elaboração,0.64,0.64,6.72,0
Santana do Jacaré,MG,4847,Não,11.88,4.7,0.00,0.50
Santa Rita de Jacutinga,MG,4843,Não,--,--,21.7,6.10
Glicério,SP,4842,Sim,31.93,33.00,7.06,0
Gavião Peixoto,SP,4841,Sim,1.07,19.11,0.00,0
Novo São Joaquim,MT,4837,Em elaboração,27.64,6.97,38.47,0
Serranópolis de Minas,MG,4836,Sim,61.5,--,60.96,2.50
Augusto de Lima,MG,4833,Sim,42.67,93.17,26.57,1.80
Rianápolis,GO,4832,Sim,9.04,--,10.91,0
Serrinha dos Pintos,RN,4832,Em elaboração,13.43,--,10.68,0
Motuca,SP,4831,Não,0.23,0.23,0.00,0
Ubirajara,SP,4828,Sim,21.44,23.32,0.00,0
Nova Cantu,PR,4827,Sim,0.02,--,44.73,5.00
Ressaquinha,MG,4826,Sim,35.37,--,35.83,0
Júlio Mesquita,SP,4824,Em elaboração,0.00,0.00,0.00,0.70
São Pedro da Cipa,MT,4823,Não,0.00,--,11.9,0
Tabaí,RS,4816,Sim,--,--,37.71,0
Ouro Branco,RN,4813,Sim,6.59,30.67,30.67,0
Conceição do Canindé,PI,4811,Não,26.58,--,--,--
Feliz Deserto,AL,4803,Em elaboração,0.5,--,0.00,--
Caibaté,RS,4802,Em elaboração,44.4,--,--,1.70
Bom Jardim da Serra,SC,4801,Sim,42.05,--,45.47,1.30
Jeceaba,MG,4795,Sim,0.02,35.87,10.01,30.90
Paulistas,MG,4794,Sim,51.34,--,53.17,--
Capivari do Sul,RS,4793,Sim,21.09,--,0.02,--
Berizal,MG,4792,Não,43.99,--,43.13,1.30
Salto Veloso,SC,4792,Sim,11.87,--,0.00,0
Jurema,PI,4790,Não,62.48,--,55.53,0
Congo,PB,4787,Não,13.45,--,26.89,10.40
Ribeirão Corrente,SP,4786,Sim,16.15,16.88,10.01,0
Granjeiro,CE,4784,Sim,77.19,89.95,70.4,0
Erval Grande,RS,4780,Sim,47.91,--,16.32,2.50
Jesuânia,MG,4774,Não,35.02,35.02,22.5,1.30
Lajes Pintadas,RN,4768,Em elaboração,2.68,67.26,52.81,--
Mata,RS,4760,Não,48.78,--,15.97,12.60
Rio Negro,MS,4758,Sim,27.93,--,11.73,0.80
São Francisco do Glória,MG,4758,Sim,39.51,63.05,30.01,4.30
Joaquim Felício,MG,4757,Sim,49.53,79.63,0.63,0.60
Monteiro Lobato,SP,4739,Não,49.99,60.6,31.42,0.40
Bandeira,MG,4738,Em elaboração,42.38,55.26,52.34,6.70
Braúnas,MG,4737,Sim,66.56,--,--,--
Fênix,PR,4734,Sim,0.02,--,16.81,0.10
David Canabarro,RS,4732,Sim,59.17,--,59.17,--
Espírito Santo do Dourado,MG,4728,Não,0.38,0.38,--,--
Rio Quente,GO,4728,Não,11.93,75.61,8.29,0
Natércia,MG,4727,Sim,42.42,56.04,0.00,2.10
Riachinho,TO,4723,Não,4.57,--,80.94,10.70
Cerro Branco,RS,4720,Não,0.00,--,42.8,3.30
Pontalinda,SP,4719,Não,15.15,16.06,17.02,0
Arraial,PI,4713,Não,53.79,--,48.1,0
Humaitá,RS,4712,Sim,40.81,--,40.81,0
Canabrava do Norte,MT,4711,Não,--,--,--,--
Divinópolis de Goiás,GO,4701,Sim,25.31,--,--,--
São Pedro dos Crentes,MA,4700,Em elaboração,--,--,--,--
Riozinho,RS,4698,Sim,48.53,--,0.96,0
São José do Seridó,RN,4696,Sim,42.91,34.33,5.49,0
Lunardelli,PR,4695,Sim,0.09,69.05,30.35,0
Ciríaco,RS,4693,Em elaboração,49.14,--,0.00,0
Santa Cruz do Escalvado,MG,4693,Sim,71.81,42.47,33.94,0
Guatambú,SC,4692,Sim,6.01,--,62.62,0.20
Ibiaçá,RS,4690,Sim,39.51,--,10.00,0.50
Coronel José Dias,PI,4688,Não,47.74,--,44.54,0
Angelina,SC,4686,Sim,76.74,--,0.00,3.20
Dueré,TO,4686,Sim,33.46,--,33.46,0
Almino Afonso,RN,4685,Em elaboração,29.35,--,28.58,--
Itaguari,GO,4684,Não,10.12,--,12.08,0
Nova Iorque,MA,4682,Não,64.82,--,--,--
Fazenda Vilanova,RS,4680,Sim,40.17,--,0.00,0
Marumbi,PR,4676,Em elaboração,0.00,--,19.23,--
Barra do Ouro,TO,4673,Não,11.32,--,46.97,0
Oratórios,MG,4671,Sim,--,--,27.87,0.60
Messias Targino,RN,4665,Sim,37.66,--,--,--
Caiçara,RS,4659,Sim,68.58,--,67.8,0
Lagoa do Barro do Piauí,PI,4658,Em elaboração,0.00,--,73.72,0
Felício dos Santos,MG,4656,Sim,--,--,56.66,0.30
Entre Rios do Oeste,PR,4651,Sim,0.00,--,9.7,0
Santana do Piauí,PI,4650,Não,50.37,--,39.44,0
Rosário da Limeira,MG,4648,Sim,46.73,34.81,20.12,1.00
Amparo do Serra,MG,4643,Não,46.37,--,--,--
Lagoa,PB,4640,Não,40.11,--,49.85,0
São José de Espinharas,PB,4631,Não,52.41,--,--,--
Rio Fortuna,SC,4630,Sim,51.97,--,50.11,50.80
Viadutos,RS,4628,Sim,50.24,--,50.24,0
Mato Leitão,RS,4627,Sim,0.00,--,30.84,0
São João da Urtiga,RS,4625,Sim,51.52,--,51.52,0
Ponte Alta,SC,4619,Sim,7.08,--,3.66,0
São João da Canabrava,PI,4619,Não,66.55,--,72.27,0
Capela Nova,MG,4616,Em elaboração,57.00,58.84,35.01,0
Bertópolis,MG,4609,Em elaboração,41.92,47.06,34.91,2.90
Lupércio,SP,4608,Não,6.97,7.83,8.85,0
São Bentinho,PB,4602,Em elaboração,21.82,--,31.25,0
Santa Carmem,MT,4600,Sim,24.59,--,24.59,0
Rosário do Ivaí,PR,4595,Sim,13.47,46.05,26.92,0
Novo Planalto,GO,4592,Não,34.67,--,34.6,0
Coronel Macedo,SP,4591,Sim,4.42,10.85,21.37,0
Ponte Alta do Bom Jesus,TO,4586,Não,44.96,--,0.00,0
Cordilheira Alta,SC,4585,Sim,16.21,75.62,31.95,0
Tunas,RS,4585,Sim,0.17,68.72,56.38,0
Romelândia,SC,4584,Sim,53.6,--,56.37,3.80
Santa Cruz da Conceição,SP,4584,Sim,31.17,34.99,12.74,0
Flor da Serra do Sul,PR,4583,Em elaboração,28.71,--,46.54,0.70
Conceição de Ipanema,MG,4581,Em elaboração,0.00,0.00,45.43,1.40
São Lourenço do Piauí,PI,4581,Não,58.31,--,--,--
Bonópolis,GO,4579,Não,63.59,--,0.00,0
João Ramalho,SP,4577,Em elaboração,22.59,22.59,10.16,0
Cantagalo,MG,4575,Não,46.16,--,40.9,--
Guaribas,PI,4573,Não,57.95,--,71.03,0.60
Riachão do Poço,PB,4571,Não,--,--,--,--
São Pedro da União,MG,4563,Não,40.61,3.57,0.00,0
Riachão do Bacamarte,PB,4562,Em elaboração,100.00,--,--,--
Aguanil,MG,4557,Não,36.36,41.85,21.00,0
Socorro do Piauí,PI,4557,Não,54.62,--,52.93,--
Santa Teresinha,PB,4550,Não,27.98,--,--,0
Buritizal,SP,4547,Não,10.75,10.97,9.83,0
Marcos Parente,PI,4546,Em elaboração,5.83,72.97,7.61,0
Fronteira dos Vales,MG,4542,Em elaboração,33.42,33.42,--,0
São Bento do Trairí,RN,4541,Em elaboração,19.2,51.75,--,--
Mundo Novo,GO,4540,Em elaboração,26.85,--,0.00,0
São Félix de Balsas,MA,4540,Não,86.98,--,--,--
Maçambará,RS,4539,Em elaboração,72.35,--,67.13,0
Montividiu do Norte,GO,4538,Em elaboração,57.49,--,67.32,1.00
Ingazeira,PE,4537,Não,33.44,--,45.38,0
Ribeirão do Sul,SP,4537,Não,18.27,20.08,0.00,0
Canaã,MG,4533,Sim,58.35,0.00,39.77,1.20
Lindóia do Sul,SC,4530,Sim,38.57,--,41.57,9.10
Vicente Dutra,RS,4530,Em elaboração,55.52,--,33.77,0
Matinhas,PB,4528,Não,79.81,0.18,84.54,0
Morro Cabeça no Tempo,PI,4527,Não,--,--,--,4.10
Senador Georgino Avelino,RN,4527,Em elaboração,11.22,--,2.36,--
Turvânia,GO,4526,Em elaboração,14.41,--,19.62,--
Murutinga do Sul,SP,4525,Sim,39.07,42.54,0.00,0
Riqueza,SC,4525,Sim,31.69,--,55.47,1.50
Jardim do Mulato,PI,4522,Não,68.71,--,--,--
Ritápolis,MG,4521,Em elaboração,27.78,--,11.52,0
Porto Lucena,RS,4514,Sim,56.93,--,29.11,41.40
Bocaina,PI,4509,Em elaboração,44.71,83.65,45.66,0
Tunápolis,SC,4507,Sim,32.13,94.74,65.03,7.80
Ramilândia,PR,4500,Sim,30.18,--,50.6,0
Cariri do Tocantins,TO,4499,Sim,44.28,--,44.28,0
Ribeira do Piauí,PI,4499,Não,0.00,--,50.01,0
Lindoeste,PR,4488,Sim,6.08,--,--,0
Wall Ferraz,PI,4479,Em elaboração,59.68,--,39.72,0
São João do Pacuí,MG,4476,Sim,1.27,--,52.97,--
Curralinhos,PI,4475,Não,--,--,48.18,0
Iguaraçu,PR,4475,Sim,0.00,--,10.61,0
José Gonçalves de Minas,MG,4474,Em elaboração,66.94,74.01,46.65,0
Indianópolis,PR,4472,Sim,0.02,--,26.79,0
Lagoa do Tocantins,TO,4470,Sim,2.26,--,--,--
Foz do Jordão,PR,4466,Não,0.02,--,10.43,0
Onda Verde,SP,4462,Sim,0.00,0.00,21.65,0
Flores do Piauí,PI,4461,Em elaboração,39.97,88.79,54.49,--
Fortaleza de Minas,MG,4460,Sim,32.87,28.00,28.00,0.70
Serranópolis do Iguaçu,PR,4460,Sim,11.5,--,49.17,0
Pequi,MG,4457,Sim,0.00,42.34,27.55,0
Rodolfo Fernandes,RN,4457,Não,0.00,--,8.01,0
São Braz do Piauí,PI,4454,Não,92.91,--,--,0
Tejupá,SP,4452,Não,25.04,28.66,32.61,0
Novo Acordo,TO,4450,Não,2.09,--,--,--
Carvalhos,MG,4445,Não,55.61,65.4,46.5,4.50
Quinta do Sol,PR,4444,Não,0.02,--,1.33,0
Jerumenha,PI,4443,Em elaboração,28.29,--,--,--
Paineiras,MG,4440,Não,26.17,--,22.3,0
Bernardo Sayão,TO,4439,Não,19.53,--,--,--
Couto de Magalhães de Minas,MG,4436,Sim,16.07,23.69,8.77,0.20
Dom Joaquim,MG,4436,Em elaboração,42.79,61.68,32.37,7.10
Piedade do Rio Grande,MG,4436,Não,32.08,--,13.84,--
Funilândia,MG,4434,Sim,49.23,71.24,9.79,0
Cruzeiro do Sul,PR,4430,Em elaboração,0.02,--,25.4,0
Itaguajé,PR,4426,Sim,0.02,--,20.4,0
Erval Velho,SC,4423,Sim,7.19,39.02,34.86,2.80
Quarto Centenário,PR,4420,Sim,7.6,--,40.02,0
Japaraíba,MG,4418,Em elaboração,0.00,35.26,35.26,0.20
Gavião,BA,4417,Em elaboração,40.64,--,42.54,--
Materlândia,MG,4415,Sim,54.2,31.37,44.73,0.60
Pindorama do Tocantins,TO,4414,Sim,34.59,--,43.36,10.70
Itajá,GO,4412,Em elaboração,18.31,--,0.00,0.90
Vargem Bonita,SC,4411,Sim,16.35,44.14,--,0
São João do Tigre,PB,4408,Não,--,--,--,--
Nova Guarita,MT,4407,Em elaboração,46.86,--,60.68,0
Logradouro,PB,4406,Sim,54.31,--,56.29,10.80
Sandovalina,SP,4405,Não,28.24,28.72,30.22,0
Itamarati de Minas,MG,4395,Sim,25.92,--,20.36,9.60
Ibarama,RS,4393,Sim,0.00,--,54.02,2.20
Nova Santa Rita,PI,4392,Não,71.56,--,--,--
Recursolândia,TO,4389,Sim,14.65,--,--,0
Aiquara,BA,4387,Não,41.76,41.37,39.32,1.90
Santa Bárbara do Tugúrio,MG,4385,Sim,52.47,--,--,--
Joanésia,MG,4382,Em elaboração,45.23,61.98,50.00,4.00
Várzea Grande,PI,4382,Não,34.85,--,40.48,0
Doutor Maurício Cardoso,RS,4380,Sim,50.71,--,50.71,0
Itapirapuã,GO,4380,Em elaboração,0.00,--,29.34,0
Gramado Xavier,RS,4378,Sim,55.46,--,57.29,8.00
Vila Maria,RS,4368,Em elaboração,0.34,--,35.28,0.30
Ipira,SC,4367,Sim,27.36,--,46.19,0
Poço de José de Moura,PB,4366,Não,67.73,--,38.2,0
Gonçalves,MG,4360,Não,72.11,88.28,52.98,0
Juramento,MG,4359,Sim,44.78,54.78,23.03,0
Santa Efigênia de Minas,MG,4354,Sim,41.09,--,33.62,--
Domingos Mourão,PI,4352,Não,70.43,--,59.79,0
Nova Rosalândia,TO,4348,Não,11.57,--,35.19,0
Junco do Maranhão,MA,4334,Em elaboração,77.02,--,15.46,0
Santana do Riacho,MG,4334,Sim,-4.01,--,7.71,0
Passagem Franca do Piauí,PI,4331,Não,38.51,--,--,0
Nova Itaberaba,SC,4327,Sim,60.41,--,64.13,0
Pracinha,SP,4327,Em elaboração,52.18,6.54,30.02,0
Matrinchã,GO,4321,Em elaboração,30.69,--,--,--
Sebastião Leal,PI,4311,Sim,44.42,--,53.4,0
Pinhal Grande,RS,4309,Em elaboração,0.00,57.39,57.62,0
Riacho Frio,PI,4306,Não,21.3,--,--,--
Ponto Chique,MG,4305,Não,40.05,1.6,34.91,2.80
Nova Santa Bárbara,PR,4304,Em elaboração,16.1,--,17.94,0
Francisco Ayres,PI,4300,Em elaboração,30.93,--,51.63,4.70
Paraná,RN,4298,Em elaboração,100.00,--,48.00,0
Itapirapuã Paulista,SP,4294,Sim,36.07,52.07,30.14,25.70
Ocauçu,SP,4294,Em elaboração,20.21,20.21,20.14,0
Serra Azul de Minas,MG,4292,Em elaboração,64.86,74.56,59.48,0
São José da Safira,MG,4291,Sim,40.25,25.43,3.64,0
Marquinho,PR,4283,Não,47.49,--,49.8,0
Planaltina do Paraná,PR,4281,Sim,14.95,--,32.28,--
São Francisco do Oeste,RN,4281,Sim,0.00,--,27.12,0.70
Vila Nova do Sul,RS,4274,Sim,48.01,63.59,48.01,0
Campo Novo,RS,4273,Não,0.00,--,0.07,14.20
Bom Jesus da Penha,MG,4270,Não,28.45,0.00,27.33,0
Arabutã,SC,4268,Sim,50.8,--,68.84,7.20
Aporé,GO,4266,Em elaboração,32.79,--,34.36,--
Prata,PB,4265,Não,31.44,36.98,36.58,0
União de Minas,MG,4265,Não,47.92,47.01,2.09,0
Pescador,MG,4261,Em elaboração,27.93,--,8.47,2.00
Brás Pires,MG,4255,Sim,51.35,--,52.06,3.30
Maximiliano de Almeida,RS,4254,Sim,39.45,--,38.6,0
Fortaleza dos Valos,RS,4252,Sim,34.57,--,10.00,0
Novo Cabrais,RS,4246,Sim,0.61,78.57,43.5,6.20
Marcelino Ramos,RS,4239,Sim,46.99,--,46.99,0
Barra do Quaraí,RS,4238,Sim,29.21,75.84,29.21,2.80
Divino de São Lourenço,ES,4236,Em elaboração,62.18,62.18,33.9,12.50
Três Palmeiras,RS,4232,Sim,1.91,--,52.29,0
Venha-Ver,RN,4232,Em elaboração,63.37,--,40.93,0.20
Olho-d'Água do Borges,RN,4231,Não,15.15,79.91,33.82,0
Cruzeiro do Iguaçu,PR,4229,Em elaboração,2.03,--,0.00,0
Ipiaçu,MG,4229,Em elaboração,--,--,8.91,0
Modelo,SC,4227,Sim,23.8,--,--,8.00
Belém,AL,4226,Não,--,--,--,--
Dona Emma,SC,4224,Sim,34.00,--,49.79,1.10
Cabrália Paulista,SP,4222,Sim,2.75,2.75,13.07,0.20
São José do Alegre,MG,4222,Não,27.31,27.62,27.4,2.50
Nova Luzitânia,SP,4217,Sim,25.78,26.18,10.29,0
Altair,SP,4211,Sim,18.19,18.69,--,--
Caraúbas,PB,4206,Não,50.24,13.93,31.05,0
Dores do Turvo,MG,4202,Sim,52.28,19.25,50.02,--
Alfredo Marcondes,SP,4201,Sim,0.00,1.19,16.35,0.40
Caiabu,SP,4195,Não,8.75,17.97,18.59,0.40
Riacho de Santana,RN,4194,Em elaboração,66.55,--,58.85,0
Novo Barreiro,RS,4185,Não,0.5,--,49.82,8.80
Iporanga,SP,4180,Sim,42.92,47.56,28.23,10.30
Tibau,RN,4173,Em elaboração,0.00,--,47.33,0.90
Anhumas,SP,4172,Em elaboração,0.00,0.00,18.17,0
São João do Cariri,PB,4170,Não,13.17,--,--,--
Monte Castelo,SP,4166,Não,--,--,--,--
Carrasco Bonito,TO,4165,Sim,5.52,86.22,46.67,12.50
Doutor Pedrinho,SC,4164,Sim,33.74,--,0.1,3.80
Conquista D'Oeste,MT,4163,Sim,23.9,--,39.35,0
Teixeirópolis,RO,4160,Não,96.54,--,64.9,6.80
São José do Sabugi,PB,4153,Em elaboração,19.82,44.62,35.78,0
Piedade de Ponte Nova,MG,4141,Não,26.47,--,--,--
São José do Barreiro,SP,4141,Sim,6.83,6.83,15.48,0.80
Populina,SP,4136,Em elaboração,0.00,0.00,3.29,0
Nova Independência,SP,4135,Em elaboração,0.00,0.00,21.86,0
Capitão Gervásio Oliveira,PI,4127,Não,--,--,--,--
Paes Landim,PI,4124,Em elaboração,21.94,--,41.46,3.50
Aparecida d'Oeste,SP,4122,Sim,5.75,8.42,18.1,0
Rio Branco do Ivaí,PR,4121,Em elaboração,35.23,--,76.41,1.00
Mossâmedes,GO,4120,Sim,27.18,--,34.59,0
Taquaraçu de Minas,MG,4120,Sim,54.25,76.8,--,--
Jundiá,AL,4119,Em elaboração,32.44,--,32.73,16.90
Tocos do Moji,MG,4117,Não,39.28,--,39.28,1.00
Paranapuã,SP,4112,Em elaboração,0.00,0.00,11.04,0
São Miguel do Passa Quatro,GO,4105,Sim,44.29,--,0.00,0
São Geraldo do Baixio,MG,4104,Sim,30.56,34.21,30.00,6.50
Major Sales,RN,4102,Sim,--,--,7.19,--
São José do Povo,MT,4102,Não,61.97,--,51.73,0
Formoso,GO,4098,Em elaboração,30.43,--,26.13,0
Mariápolis,SP,4098,Em elaboração,11.98,14.93,0.00,0
Veríssimo,MG,4090,Sim,44.08,6.36,20.00,0
Lagoa do Piauí,PI,4086,Em elaboração,0.00,--,40.01,0
Pau D'Arco do Piauí,PI,4084,Não,--,--,85.21,0
Marilac,MG,4079,Não,28.49,--,1.94,--
Alto Alegre,SP,4078,Sim,9.44,12.56,0.00,0
Santa Cruz de Salinas,MG,4074,Não,57.17,73.83,61.27,--
Corumbataí,SP,4072,Sim,37.67,45.97,45.97,0
Dom Macedo Costa,BA,4072,Não,0.00,--,54.54,0
Passos Maia,SC,4072,Sim,54.25,--,50.88,7.00
Conceição do Tocantins,TO,4070,Em elaboração,4.18,--,30.39,0
Novo Horizonte do Norte,MT,4069,Não,40.65,--,52.59,0
Rondolândia,MT,4069,Sim,--,--,--,--
Assunção,PB,4067,Não,29.14,19.2,19.2,--
Presidente Alves,SP,4067,Sim,2.34,4.45,16.79,0
Suzanápolis,SP,4063,Em elaboração,33.25,33.67,0.00,0
Lagoa dos Patos,MG,4062,Sim,34.64,55.34,27.13,--
Ribeirão Vermelho,MG,4061,Sim,11.13,7.71,0.27,4.40
Porto Vitória,PR,4057,Não,37.79,--,14.96,0.30
Senador Modestino Gonçalves,MG,4056,Sim,57.15,1.38,60.58,13.40
Ilópolis,RS,4054,Sim,46.2,--,46.03,0
Lucrécia,RN,4053,Sim,34.34,37.23,1.31,25.00
Carrancas,MG,4052,Sim,31.37,--,0.00,0
Santa Mônica,PR,4052,Em elaboração,1.78,--,58.69,0
Virmond,PR,4051,Não,30.63,--,--,0
Ibiquera,BA,4047,Não,44.85,--,36.74,0
Santa Cruz dos Milagres,PI,4046,Não,--,--,41.89,3.10
Inúbia Paulista,SP,4045,Em elaboração,9.57,9.79,1.41,2.30
Bela Vista do Piauí,PI,4044,Não,67.09,--,38.18,0
Coivaras,PI,4044,Não,13.13,--,77.74,0
Quatro Pontes,PR,4043,Sim,0.00,--,0.00,0
Munhoz de Melo,PR,4034,Sim,16.21,--,0.62,0
Portelândia,GO,4032,Sim,17.49,--,19.00,0
Witmarsum,SC,4032,Em elaboração,35.39,--,46.68,25.80
Marliéria,MG,4030,Não,0.00,29.03,0.74,0
Contendas do Sincorá,BA,4025,Não,50.83,--,50.73,7.40
Frutuoso Gomes,RN,4015,Em elaboração,18.95,--,33.57,0
Jateí,MS,4015,Em elaboração,53.8,54.25,31.03,0
Goianá,MG,4014,Sim,24.17,12.81,18.86,2.60
Bom Sucesso de Itararé,SP,4013,Não,34.06,36.81,2.82,4.10
Nova Nazaré,MT,4013,Em elaboração,61.9,--,--,0
Nossa Senhora das Graças,PR,4009,Não,0.02,--,0.00,0
Cumbe,SE,4008,Não,2.87,50.1,12.67,0
Canhoba,SE,4003,Em elaboração,0.17,--,0.00,--
Treviso,SC,4002,Sim,48.03,--,0.00,6.20
Kaloré,PR,3996,Sim,0.00,--,28.58,0
Acaiaca,MG,3995,Sim,1.88,36.1,0.13,56.50
Lajedão,BA,3993,Em elaboração,34.84,81.07,24.62,0
Boa Esperança,PR,3991,Sim,0.03,--,12.3,0
Barcelona,RN,3989,Não,0.00,--,--,--
Olivedos,PB,3989,Não,34.6,0.00,24.79,--
Ibirapuitã,RS,3988,Sim,0.00,--,41.12,0.50
Mãe d'Água,PB,3988,Não,60.96,--,60.96,0
Santana do Deserto,MG,3985,Sim,63.19,--,36.36,6.00
Bugre,MG,3984,Sim,66.44,0.00,61.65,--
Marques de Souza,RS,3981,Em elaboração,63.9,--,54.79,42.90
Espigão Alto do Iguaçu,PR,3980,Não,32.11,--,64.8,0
Porteirão,GO,3979,Em elaboração,13.04,--,--,0
Pedra do Indaiá,MG,3977,Sim,47.25,49.71,23.51,0
Cafezal do Sul,PR,3975,Em elaboração,0.03,--,16.98,1.30
Salgadinho,PB,3975,Não,80.38,--,34.29,--
São Miguel do Aleixo,SE,3964,Não,5.12,--,52.75,2.00
Cajuri,MG,3961,Sim,46.28,46.48,17.02,0
Barra D'Alcântara,PI,3953,Em elaboração,--,--,47.26,--
Jundiá,RN,3945,Em elaboração,73.26,--,51.84,0
Conceição da Barra de Minas,MG,3939,Não,33.56,56.38,31.45,0
Canavieira,PI,3938,Em elaboração,46.85,--,55.66,0
Itaju,SP,3937,Sim,22.17,22.17,27.25,0
Santa Rosa de Lima,SE,3933,Não,0.08,--,16.09,0
Ewbank da Câmara,MG,3932,Não,4.58,--,52.9,9.20
Paquetá,PI,3931,Em elaboração,79.95,--,49.12,0
Pedras Grandes,SC,3931,Não,--,--,35.79,--
Gameleira de Goiás,GO,3923,Em elaboração,65.64,--,--,--
Santana de Cataguases,MG,3909,Sim,23.89,19.47,19.47,40.90
Areias,SP,3906,Sim,33.44,33.44,0.15,0
Jaú do Tocantins,TO,3906,Sim,43.68,--,62.65,0
Quadra,SP,3902,Sim,63.58,80.83,51.26,0
Iraceminha,SC,3901,Sim,53.58,--,65.47,1.80
Caldazinha,GO,3900,Sim,42.54,--,40.56,0
Pilões,RN,3900,Em elaboração,6.21,--,--,--
Jaborá,SC,3899,Sim,34.98,--,53.83,1.10
Pontão,RS,3898,Não,8.93,--,59.57,0
São José de Princesa,PB,3898,Em elaboração,--,--,--,0
Leópolis,PR,3896,Sim,0.03,--,42.07,0
Mariana Pimentel,RS,3892,Não,83.07,--,44.76,0
Conselheiro Mairinck,PR,3891,Sim,10.18,22.23,30.84,2.10
Minduri,MG,3891,Em elaboração,19.38,9.02,11.57,0
Pareci Novo,RS,3885,Sim,1.9,--,50.01,22.30
São Pedro da Serra,RS,3881,Sim,56.89,--,53.62,--
Hugo Napoleão,PI,3880,Não,0.54,--,--,--
