Cidade,UF,População,Possui Plano Municipal,População sem Água,População sem Esgoto,População sem coleta de lixo,Domicílios sujeitos à inundações
General Carneiro,PR,13661,Em elaboração,0.21,0.68,0.12,0.07
Águas Vermelhas,MG,13656,Não,0.30,0.72,0.30,0.00
Mirabela,MG,13651,Não,0.38,0.68,0.05,0.00
Iporã,PR,13642,Não,0.00,0.51,0.21,0.00
Chã de Alegria,PE,13641,Não,0.30,--,--,0.04
Mascote,BA,13619,Não,0.21,--,0.09,0.02
Barra do Ribeiro,RS,13618,Sim,0.26,--,0.05,0.10
Arara,PB,13613,Não,1.00,0.67,0.29,--
Choró,CE,13608,Em elaboração,0.83,--,0.41,0.36
Firminópolis,GO,13604,Em elaboração,0.25,--,0.00,0.00
Amajari,RR,13561,Não,0.78,--,0.87,0.05
Palmácia,CE,13553,Em elaboração,0.69,0.92,0.48,0.39
Miranorte,TO,13551,Sim,0.09,--,0.13,0.00
Pé de Serra,BA,13535,Não,0.41,--,--,--
Tomar do Geru,SE,13534,Não,0.34,0.95,0.63,0.00
Alexandria,RN,13529,Em elaboração,0.00,0.48,0.32,0.01
Manoel Ribas,PR,13517,Não,0.26,0.80,0.00,0.00
Itaguara,MG,13510,Sim,0.00,0.00,0.02,0.01
Martinho Campos,MG,13497,Não,0.18,0.51,0.04,0.02
Piquete,SP,13495,Sim,0.06,0.26,0.06,0.17
Itapetim,PE,13492,Não,0.17,0.86,0.40,--
Serrolândia,BA,13490,Sim,0.08,--,--,0.02
Paripueira,AL,13484,Em elaboração,0.56,--,--,--
Caapiranga,AM,13482,Não,--,--,0.41,0.60
Jutaí,AM,13462,Sim,--,--,--,--
Joanópolis,SP,13453,Sim,0.28,0.34,0.00,0.01
Arroio do Tigre,RS,13452,Sim,0.53,--,0.44,0.01
Caldeirão Grande,BA,13452,Não,0.52,--,--,--
Imbaú,PR,13449,Em elaboração,0.08,0.55,0.09,0.00
Abre Campo,MG,13434,Sim,0.30,0.30,0.18,0.02
Japoatã,SE,13422,Em elaboração,0.21,0.42,0.48,--
Ibaretama,CE,13385,Não,0.90,--,0.61,--
Planalto,PR,13385,Não,0.37,--,--,--
Tenente Portela,RS,13385,Sim,0.36,--,0.00,0.02
Rio Casca,MG,13384,Sim,0.29,0.43,0.20,0.38
Ribeirão Bonito,SP,13376,Em elaboração,0.01,0.01,0.08,0.00
Dores do Indaiá,MG,13373,Sim,0.18,0.22,0.08,0.00
Luiz Alves,SC,13347,Sim,0.65,--,0.36,0.49
Lucena,PB,13344,Não,0.00,--,0.15,0.47
Cantagalo,PR,13340,Sim,0.12,0.54,--,--
Água Boa,MG,13319,Sim,0.48,--,0.37,0.20
Bocaiúva do Sul,PR,13308,Não,0.11,0.58,0.32,0.00
São Domingos,GO,13305,Não,0.49,--,0.38,--
Lagoa do Ouro,PE,13300,Não,0.42,--,0.32,--
Palestina,SP,13285,Sim,0.18,0.20,0.10,0.00
Crissiumal,RS,13269,Em elaboração,0.56,--,0.57,0.04
Alto Alegre dos Parecis,RO,13268,Não,0.77,--,0.62,0.00
Banzaê,BA,13251,Não,0.66,0.94,0.00,0.00
Rio Bonito do Iguaçu,PR,13240,Sim,0.51,--,0.76,0.00
Balsa Nova,PR,13238,Em elaboração,0.00,0.77,0.00,0.04
Mogeiro,PB,13238,Em elaboração,0.71,0.79,0.36,0.19
São João das Missões,MG,13232,Não,0.83,--,0.79,0.25
Buenos Aires,PE,13224,Não,0.21,--,0.00,--
Nordestina,BA,13197,Não,0.41,--,0.52,0.00
Nova Londrina,PR,13188,Sim,0.00,0.02,0.01,0.50
Goiatins,TO,13169,Em elaboração,0.36,--,--,--
Monte Belo,MG,13139,Sim,0.38,0.95,0.32,0.00
Balneário Rincão,SC,13129,Não,0.00,--,0.00,0.01
Milhã,CE,13129,Não,--,--,0.54,--
Barra do Mendes,BA,13128,Não,0.34,--,0.42,0.00
Sangão,SC,13128,Não,0.59,--,0.47,0.00
Maribondo,AL,13123,Não,0.37,--,0.00,0.19
Andaraí,BA,13122,Não,0.45,--,0.15,0.00
Carnaubeira da Penha,PE,13117,Não,--,--,0.56,0.00
Governador Dix-Sept Rosado,RN,13115,Em elaboração,0.52,--,0.45,0.27
Lagoa Dourada,MG,13115,Sim,0.44,0.08,0.00,0.00
Chaval,CE,13112,Em elaboração,0.46,--,0.31,0.00
Sítio do Mato,BA,13104,Em elaboração,--,--,--,--
Nossa Senhora do Livramento,MT,13093,Em elaboração,0.50,--,0.54,0.00
Marilândia,ES,13091,Sim,0.30,0.40,0.18,0.07
São Luís do Curu,CE,13086,Sim,0.59,0.93,0.00,--
Turvo,SC,13080,Sim,0.24,0.89,0.08,0.01
Cristais,MG,13060,Não,0.25,0.00,0.21,0.02
Governador Lindenberg,ES,13047,Sim,0.61,0.68,0.61,0.34
Deodápolis,MS,13043,Em elaboração,0.18,0.83,0.17,0.00
Antônio Prado,RS,13041,Sim,0.28,--,0.28,0.00
Mineiros do Tietê,SP,13023,Em elaboração,0.04,0.04,--,--
Nova Crixás,GO,13020,Não,0.35,--,0.01,0.00
Terra Nova,BA,13018,Não,0.10,--,0.10,0.00
Piên,PR,13015,Sim,0.27,--,0.39,0.00
Mar de Espanha,MG,12985,Não,0.18,0.08,0.09,0.00
Turvo,PR,12977,Não,0.31,0.93,0.47,0.00
Piçarra,PA,12976,Não,--,--,--,0.00
Saúde,BA,12971,Sim,0.38,--,--,--
Igrapiúna,BA,12963,Em elaboração,0.68,--,--,--
Aracatu,BA,12960,Não,0.68,--,0.61,0.00
Heliópolis,BA,12946,Não,0.39,0.86,0.30,0.00
Manoel Vitorino,BA,12944,Não,0.49,--,0.06,0.03
Presidente Bernardes,SP,12943,Em elaboração,0.10,0.18,0.15,0.01
Tapiratiba,SP,12940,Não,0.06,0.18,0.18,0.00
Cidade Gaúcha,PR,12939,Sim,0.00,0.03,0.17,0.00
Presidente Juscelino,MA,12939,Não,0.84,--,0.71,0.05
Davinópolis,MA,12923,Não,0.23,--,0.30,0.00
Itaipé,MG,12910,Não,0.56,0.63,0.38,0.03
São José do Campestre,RN,12901,Em elaboração,0.07,0.72,0.17,0.06
Mamborê,PR,12900,Sim,0.00,0.20,0.36,0.01
Mostardas,RS,12888,Sim,0.85,--,0.14,0.00
Conceição do Castelo,ES,12887,Em elaboração,0.51,0.53,0.17,0.20
Campinorte,GO,12880,Em elaboração,0.19,--,0.14,0.00
Rio de Contas,BA,12878,Sim,0.52,0.76,--,--
Nova Canaã do Norte,MT,12876,Não,--,--,0.44,0.00
Brejinho,RN,12873,Em elaboração,--,--,--,--
Ribeirão do Pinhal,PR,12869,Não,0.00,0.24,0.01,0.01
Patu,RN,12861,Em elaboração,0.38,--,--,--
Riolândia,SP,12856,Sim,0.25,0.26,0.21,0.00
Porto Alegre do Norte,MT,12849,Sim,0.46,--,0.52,0.03
Cachoeira Alta,GO,12843,Sim,0.21,0.30,0.21,0.00
Tacaimbó,PE,12843,Não,0.18,0.55,0.22,--
Novo Lino,AL,12837,Não,0.59,--,0.10,--
Flexeiras,AL,12823,Não,0.50,0.35,0.34,--
Cardoso Moreira,RJ,12818,Sim,0.31,--,0.24,--
Betânia,PE,12811,Não,0.47,--,0.69,0.00
Cambuquira,MG,12810,Não,0.21,0.41,0.07,0.00
Vera Cruz,RN,12789,Em elaboração,0.00,--,--,0.00
São Pedro da Água Branca,MA,12779,Em elaboração,0.23,--,0.01,--
Simplício Mendes,PI,12778,Sim,0.27,0.96,0.35,0.00
São Gonçalo do Pará,MG,12776,Não,0.35,0.07,0.02,0.01
Areal,RJ,12763,Em elaboração,--,--,--,0.22
Teixeira Soares,PR,12761,Sim,0.48,0.75,0.53,--
Palmital,PR,12755,Em elaboração,0.11,0.59,0.37,0.03
São Geraldo,MG,12751,Sim,0.43,0.29,0.06,0.00
Água Doce do Maranhão,MA,12731,Em elaboração,--,--,0.61,--
Sete Barras,SP,12731,Sim,0.26,0.41,0.06,0.05
Ibicuitinga,CE,12730,Não,0.67,--,0.14,0.00
Maxaranguape,RN,12714,Em elaboração,0.17,--,0.37,0.00
São Romão,MG,12713,Sim,0.56,0.83,0.37,0.00
Santa Cruz da Baixa Verde,PE,12708,Não,0.99,--,0.55,0.00
Bonfim,RR,12701,Sim,0.48,0.49,0.33,0.00
Ibiraçu,ES,12701,Em elaboração,0.02,0.25,0.00,0.10
Malhador,SE,12689,Não,0.02,0.53,0.27,--
Jataizinho,PR,12687,Em elaboração,0.07,0.17,0.05,0.03
Fortaleza dos Nogueiras,MA,12662,Não,0.88,0.44,0.70,--
Ubaí,MG,12661,Em elaboração,0.64,--,0.37,0.01
Novo Horizonte,BA,12653,Não,0.01,--,0.47,0.00
Porto,PI,12646,Em elaboração,0.32,0.58,0.37,0.00
Ibirá,SP,12639,Sim,0.06,0.08,0.08,0.00
Iracema,RR,12637,Em elaboração,0.48,--,0.45,0.01
Rio Vermelho,MG,12635,Sim,0.61,0.52,0.48,0.10
São Roque do Canaã,ES,12602,Em elaboração,0.52,0.67,0.28,0.08
Porecatu,PR,12587,Sim,0.00,0.00,--,0.00
Lavínia,SP,12581,Não,0.51,0.52,0.26,0.02
Cerro Grande do Sul,RS,12579,Sim,0.84,--,0.40,0.35
Bocaina,SP,12571,Em elaboração,0.00,0.00,0.09,0.00
Tabapuã,SP,12561,Sim,0.00,0.00,0.01,0.00
Edéia,GO,12559,Sim,0.15,0.15,0.14,0.00
Várzea Nova,BA,12556,Não,0.30,0.45,0.20,0.05
Canelinha,SC,12553,Sim,0.20,--,0.00,0.36
Cortês,PE,12543,Não,--,--,0.40,0.17
Cananéia,SP,12542,Sim,0.09,0.24,0.02,0.03
Tabocas do Brejo Velho,BA,12515,Sim,0.62,--,0.52,--
Ubaporanga,MG,12514,Em elaboração,0.54,0.47,0.00,0.02
Salto do Jacuí,RS,12512,Sim,0.15,0.65,0.13,0.00
Aral Moreira,MS,12511,Em elaboração,0.48,0.91,0.48,0.00
Ilicínea,MG,12511,Em elaboração,0.23,0.00,0.21,0.00
Ipaumirim,CE,12507,Sim,0.56,--,0.00,0.00
Lontras,SC,12497,Sim,0.16,--,0.00,0.13
Porto Walter,AC,12497,Em elaboração,0.66,--,0.64,--
Ataléia,MG,12496,Não,0.49,0.69,0.50,0.01
Setubinha,MG,12493,Não,0.64,0.82,0.74,0.02
Nova Ubiratã,MT,12492,Em elaboração,--,--,0.36,0.02
Itiruçu,BA,12482,Não,0.13,0.00,0.01,0.00
Cruzeiro do Sul,RS,12457,Sim,0.41,--,0.31,0.03
Brejetuba,ES,12450,Sim,0.78,0.53,0.50,0.02
Bom Retiro do Sul,RS,12448,Sim,0.20,--,0.28,0.01
Eldorado,MS,12447,Em elaboração,0.21,0.77,0.04,0.00
Planura,MG,12445,Sim,0.08,0.03,0.00,0.00
São Miguel do Tocantins,TO,12445,Sim,0.00,--,0.64,0.20
Duartina,SP,12421,Não,0.00,0.00,0.10,--
Chavantes,SP,12418,Não,0.08,0.11,0.08,0.00
Guaiçara,SP,12416,Sim,0.00,0.00,0.00,0.00
Paulista,PB,12411,Não,0.47,--,0.42,--
Jardim do Seridó,RN,12397,Em elaboração,0.00,0.44,0.10,0.01
Cardoso,SP,12371,Sim,0.00,0.00,0.09,0.00
Mato Verde,MG,12367,Não,0.23,0.33,0.25,0.00
Matina,BA,12359,Não,0.69,--,--,0.03
Poranga,CE,12358,Não,0.62,0.86,--,--
Licínio de Almeida,BA,12357,Não,0.50,--,--,0.00
Rio Paranaíba,MG,12356,Sim,0.38,--,--,--
Cláudia,MT,12338,Sim,0.23,0.30,0.23,0.00
Jerônimo Monteiro,ES,12336,Em elaboração,0.22,0.22,0.22,0.23
Santa Fé,PR,12330,Não,0.00,0.34,0.03,--
Alto Garças,MT,12323,Em elaboração,0.03,--,0.09,0.00
Jacinto,MG,12320,Não,0.29,0.56,--,--
Correia Pinto,SC,12315,Sim,0.01,--,0.16,0.13
Taipu,RN,12314,Em elaboração,0.29,--,0.48,0.00
Pacoti,CE,12313,Em elaboração,0.75,0.77,0.51,--
Pedras de Maria da Cruz,MG,12313,Não,0.48,0.89,0.35,0.08
Santa Luzia,BA,12308,Sim,0.36,--,0.19,0.05
Cacequi,RS,12291,Sim,0.15,--,0.13,0.02
Dom Basílio,BA,12281,Em elaboração,0.25,--,0.51,0.00
Capixaba,AC,12280,Sim,0.64,--,0.43,0.00
Paramoti,CE,12276,Sim,0.63,0.93,0.29,0.02
Loreto,MA,12271,Em elaboração,0.57,--,0.44,0.00
Atilio Vivacqua,ES,12270,Sim,0.39,0.26,0.04,0.44
Ventania,PR,12267,Em elaboração,0.21,0.75,--,--
Iguaracy,PE,12265,Não,0.32,0.00,0.28,0.01
Itanhomi,MG,12259,Sim,0.33,0.00,0.00,0.04
Querência do Norte,PR,12257,Não,0.23,--,0.17,0.00
Canápolis,MG,12251,Em elaboração,0.22,0.10,0.00,0.00
Jequeri,MG,12246,Sim,0.43,0.43,0.18,0.00
Araças,BA,12237,Não,0.33,--,0.04,--
Ponto dos Volantes,MG,12235,Não,0.59,--,0.45,0.03
Axixá,MA,12234,Em elaboração,0.84,--,0.31,0.00
São Francisco do Maranhão,MA,12226,Não,0.69,--,--,--
Serra do Mel,RN,12225,Não,1.00,--,0.50,0.00
Itapejara d'Oeste,PR,12220,Sim,0.12,--,0.34,0.00
Ferreiros,PE,12216,Não,0.10,--,0.20,--
Congonhal,MG,12209,Não,0.29,0.29,0.26,0.01
Icaraí de Minas,MG,12200,Não,0.73,0.88,0.59,0.02
Santo Amaro das Brotas,SE,12200,Não,0.29,--,0.18,0.00
Carmo da Cachoeira,MG,12193,Não,0.29,0.36,0.18,0.00
Andrelândia,MG,12189,Não,0.24,0.00,0.19,0.00
Capela de Santana,RS,12183,Sim,0.79,--,--,0.01
Porto Esperidião,MT,12176,Sim,0.62,0.69,0.59,--
Colares,PA,12175,Não,0.68,--,0.35,--
Santa Leopoldina,ES,12171,Em elaboração,0.79,--,0.42,0.46
Belém de Maria,PE,12169,Não,0.26,--,0.30,0.18
Saubara,BA,12163,Em elaboração,0.03,--,0.18,--
Pimenteiras,PI,12150,Sim,0.47,--,0.57,0.01
Itagi,BA,12140,Em elaboração,0.22,0.16,0.21,0.26
São Sebastião da Grama,SP,12137,Sim,0.34,0.34,0.00,0.00
Bonito de Santa Fé,PB,12126,Não,0.31,--,--,--
Wanderley,BA,12125,Não,0.44,--,0.51,0.02
Salgado de São Félix,PB,12123,Em elaboração,0.63,--,0.46,0.27
Lebon Régis,SC,12122,Sim,0.22,--,0.36,0.07
Pinheiro Machado,RS,12122,Sim,0.23,0.16,0.15,0.00
Joaquim Távora,PR,12108,Sim,0.00,0.07,--,--
Bofete,SP,12107,Sim,0.41,0.47,0.17,0.00
Godofredo Viana,MA,12104,Não,0.76,--,0.55,--
Sales Oliveira,SP,12103,Sim,0.01,0.10,0.09,0.00
São Francisco do Brejão,MA,12082,Não,0.69,--,0.45,0.00
Mortugaba,BA,12063,Sim,0.53,--,0.49,0.00
Boa Nova,BA,12039,Não,0.25,--,0.48,--
Aperibé,RJ,12036,Em elaboração,0.13,0.09,0.00,0.52
Pilar,PB,12036,Não,0.34,--,--,--
Três Barras do Paraná,PR,12036,Sim,0.28,0.54,0.48,0.01
Mondaí,SC,12034,Sim,0.37,--,0.38,0.03
Presidente Jânio Quadros,BA,12028,Não,0.70,0.83,0.71,--
Nova Olinda,TO,12014,Sim,0.22,--,0.00,0.00
Inhangapi,PA,12009,Sim,0.77,--,0.54,--
Iacanga,SP,12002,Sim,0.16,0.21,0.03,0.00
Peixe,TO,11996,Sim,0.41,0.88,0.26,0.00
Perdigão,MG,11994,Não,0.20,0.02,0.12,0.00
Campo Alegre,SC,11985,Sim,0.00,--,0.05,0.02
Cedro,PE,11972,Não,0.18,0.42,0.11,0.00
Terra Alta,PA,11971,Não,0.49,--,0.50,0.04
Guaraniaçu,PR,11969,Sim,0.13,0.57,0.29,0.00
Guimarães,MA,11966,Não,0.45,--,0.43,--
Moreira Sales,PR,11966,Sim,0.00,0.79,0.21,0.00
Abaiara,CE,11965,Não,0.69,--,0.57,--
Antônio Gonçalves,BA,11955,Em elaboração,0.29,--,0.43,0.00
Lima Campos,MA,11943,Em elaboração,0.42,--,0.43,0.00
Rio dos Cedros,SC,11937,Sim,0.37,--,0.32,0.08
Amaturá,AM,11934,Em elaboração,--,--,0.48,--
São Félix do Araguaia,MT,11934,Não,0.08,--,0.42,0.00
Santa Terezinha,PE,11914,Não,0.18,--,0.24,--
Benedito Novo,SC,11896,Sim,0.58,--,0.01,0.10
Imaculada,PB,11877,Em elaboração,0.58,--,0.56,0.00
Vale do Sol,RS,11873,Sim,0.22,--,0.44,0.00
Céu Azul,PR,11872,Em elaboração,0.07,0.29,0.00,0.00
Caetanópolis,MG,11869,Não,0.27,0.32,0.16,0.00
Conceição dos Ouros,MG,11852,Não,0.24,0.22,0.00,0.03
Alcântaras,CE,11846,Não,0.77,0.89,0.68,0.00
Seringueiras,RO,11846,Não,0.71,0.90,0.62,0.00
Brasilândia,MS,11835,Sim,0.33,0.44,0.32,0.07
Berilo,MG,11813,Não,0.62,0.80,0.41,0.02
Gouveia,MG,11811,Em elaboração,0.28,0.32,0.02,0.00
Santana do Matos,RN,11808,Em elaboração,0.24,--,0.25,--
Tacuru,MS,11795,Não,0.63,0.67,0.63,0.00
São Sebastião de Lagoa de Roça,PB,11793,Não,0.48,--,0.58,0.00
São João do Manhuaçu,MG,11785,Sim,0.56,0.59,0.16,0.00
Wanderlândia,TO,11783,Não,0.34,--,0.47,--
Redentora,RS,11782,Sim,0.70,--,0.49,0.00
Normandia,RR,11772,Em elaboração,0.67,--,--,--
Aratuba,CE,11759,Sim,0.78,0.93,0.68,0.00
Chupinguaia,RO,11755,Não,0.01,--,0.56,0.00
Baixa Grande do Ribeiro,PI,11751,Em elaboração,0.43,--,0.39,0.00
Serra do Salitre,MG,11750,Sim,0.32,0.01,0.18,0.00
Presidente Kennedy,ES,11741,Não,0.68,--,0.34,0.00
São Miguel das Matas,BA,11733,Não,0.68,--,0.68,0.00
Vera,MT,11731,Em elaboração,0.28,--,0.28,0.00
Angicos,RN,11695,Não,0.00,--,--,--
Fronteiras,PI,11690,Em elaboração,0.26,--,--,--
Paranacity,PR,11685,Em elaboração,0.00,0.47,--,0.00
Olivença,AL,11681,Não,0.52,--,0.72,0.00
Teixeiras,MG,11680,Não,0.35,--,0.33,0.04
Ponte Serrada,SC,11674,Sim,0.28,--,0.25,0.03
Rio do Pires,BA,11672,Não,0.57,--,0.40,0.00
Antônio Cardoso,BA,11670,Não,0.70,--,--,--
Gravatal,SC,11652,Sim,0.03,0.48,0.45,0.01
Campo do Meio,MG,11648,Em elaboração,0.10,0.12,0.12,0.00
Rodeio,SC,11647,Sim,0.22,--,0.10,0.02
Buriti do Tocantins,TO,11644,Não,0.00,--,0.16,0.00
Barro Alto,GO,11643,Em elaboração,0.30,--,0.28,0.00
Itabirinha,MG,11637,Sim,0.25,0.35,0.22,0.02
Jaqueira,PE,11632,Não,--,--,--,--
Rio Novo do Sul,ES,11630,Em elaboração,0.50,--,0.00,0.50
Cachoeira de Minas,MG,11609,Não,0.36,0.13,0.00,0.00
Paranatama,PE,11608,Não,0.88,--,0.80,0.00
Gararu,SE,11599,Em elaboração,0.03,--,0.50,--
Alvorada do Sul,PR,11598,Sim,0.04,--,0.29,0.00
Capela do Alto Alegre,BA,11597,Não,0.32,--,0.40,0.00
Ipaporanga,CE,11597,Sim,0.15,--,0.36,0.00
Itaipulândia,PR,11588,Em elaboração,0.02,0.64,0.00,0.00
Alto Paraguai,MT,11587,Em elaboração,--,--,--,--
Lençóis,BA,11586,Não,0.23,0.59,0.14,0.01
Sebastião Laranjeiras,BA,11586,Em elaboração,0.02,--,0.39,0.00
Jaguaribara,CE,11580,Não,0.40,0.60,0.25,0.00
Resende Costa,MG,11578,Sim,0.27,0.65,0.05,0.00
Nhandeara,SP,11575,Sim,0.11,0.12,0.00,0.00
Nonoai,RS,11574,Sim,0.24,--,0.14,0.04
Ouro Branco,AL,11573,Sim,0.66,--,0.18,0.00
Itainópolis,PI,11571,Não,0.63,--,--,0.00
Santo Antônio do Jacinto,MG,11570,Não,0.48,0.00,0.20,0.00
Duas Barras,RJ,11563,Não,0.29,--,0.05,0.00
Roca Sales,RS,11556,Sim,0.42,--,0.02,0.26
Ilha Comprida,SP,11552,Em elaboração,0.10,0.56,--,--
Dois Irmãos do Buriti,MS,11547,Em elaboração,0.55,0.58,--,0.00
Carmo da Mata,MG,11546,Em elaboração,0.03,0.15,0.09,--
Jucati,PE,11545,Não,0.54,--,0.39,--
Vale do Anari,RO,11545,Em elaboração,0.88,--,--,--
Balneário Gaivota,SC,11537,Não,0.30,--,0.23,0.25
Lagoa Grande do Maranhão,MA,11534,Em elaboração,--,--,0.48,0.04
Pirangi,SP,11524,Sim,0.00,0.00,0.05,0.00
Santa Mariana,PR,11523,Não,0.00,0.29,0.31,0.00
Aramari,BA,11519,Não,0.51,--,0.50,--
Nova Europa,SP,11519,Sim,0.07,0.07,0.00,0.00
Estiva Gerbi,SP,11507,Não,0.00,0.13,0.04,0.00
Pedro de Toledo,SP,11507,Sim,0.37,0.62,0.09,0.07
Bonito de Minas,MG,11502,Sim,0.78,--,0.77,0.00
Xambioá,TO,11500,Sim,0.10,--,0.00,0.00
Jequiá da Praia,AL,11495,Não,0.17,--,0.52,0.01
Calçoene,AP,11493,Sim,0.88,--,0.39,0.00
Getulina,SP,11485,Não,0.23,0.24,0.23,0.00
Muquém de São Francisco,BA,11479,Em elaboração,0.62,0.94,0.46,0.00
Antônio Carlos,MG,11471,Sim,0.31,0.04,0.13,0.05
Capitão de Campos,PI,11471,Em elaboração,0.65,--,--,--
Nova Laranjeiras,PR,11462,Em elaboração,0.73,0.78,0.60,0.03
Curimatá,PI,11461,Não,0.16,--,0.34,0.01
São Carlos,SC,11456,Sim,0.22,--,0.33,0.05
Igarapé Grande,MA,11453,Em elaboração,0.66,0.69,0.30,0.05
Duque Bacelar,MA,11451,Sim,0.85,--,--,0.00
Estiva,MG,11416,Sim,0.55,0.30,0.43,0.00
Porto Firme,MG,11414,Sim,0.54,--,--,--
Alto Taquari,MT,11413,Em elaboração,0.00,--,0.09,0.00
Lajes,RN,11410,Sim,0.13,0.41,0.01,0.00
Martinópole,CE,11407,Não,0.43,--,0.22,0.00
Pérola,PR,11406,Sim,0.00,--,0.21,0.00
Divisópolis,MG,11396,Não,0.34,0.72,0.29,0.01
Eugenópolis,MG,11383,Em elaboração,0.40,--,--,--
Guaraci,SP,11382,Em elaboração,0.09,0.11,0.17,0.00
Anguera,BA,11369,Em elaboração,0.47,--,0.56,0.00
Batayporã,MS,11368,Sim,0.25,0.36,0.24,0.05
Campo Redondo,RN,11363,Em elaboração,0.35,0.90,0.19,0.01
Avelino Lopes,PI,11361,Não,0.25,--,0.39,0.02
Moita Bonita,SE,11361,Não,0.32,0.39,0.52,0.00
Matias Cardoso,MG,11360,Em elaboração,0.50,--,0.25,0.01
Irineópolis,SC,11354,Em elaboração,0.60,--,0.56,0.04
Itatiaiuçu,MG,11354,Não,0.39,--,0.21,0.00
Bela Vista do Maranhão,MA,11347,Não,--,--,--,--
Palmares do Sul,RS,11342,Sim,0.71,--,0.21,0.01
Presidente Vargas,MA,11328,Não,0.75,--,0.74,0.00
Terra de Areia,RS,11323,Sim,0.51,--,0.29,0.00
Macajuba,BA,11318,Sim,0.35,--,--,--
Urubici,SC,11311,Sim,0.30,--,0.00,0.00
Poção,PE,11308,Não,0.41,0.00,0.20,0.04
Senador José Porfírio,PA,11305,Sim,--,--,0.69,0.16
Angelim,PE,11301,Em elaboração,0.21,--,--,--
Paranaíta,MT,11291,Em elaboração,0.42,--,0.00,0.00
Barbosa Ferraz,PR,11287,Sim,0.00,0.58,0.12,0.01
Senador Alexandre Costa,MA,11285,Não,0.00,--,0.18,0.00
Gentio do Ouro,BA,11284,Não,0.50,0.70,0.11,0.00
Esperantina,TO,11280,Não,0.29,0.75,0.29,0.00
Lagoa do Mato,MA,11280,Em elaboração,0.03,--,0.59,0.00
São Domingos,SE,11276,Sim,0.34,0.87,0.29,--
Balneário Barra do Sul,SC,11271,Em elaboração,0.00,--,0.01,0.00
Bom Jesus,RS,11270,Não,0.25,0.55,0.16,0.01
Moreilândia,PE,11269,Sim,0.50,--,--,0.02
Engenheiro Caldas,MG,11268,Sim,0.40,0.56,0.10,0.03
Cajapió,MA,11255,Não,0.81,--,0.46,0.00
Alto Parnaíba,MA,11233,Em elaboração,0.35,--,0.73,0.00
Uraí,PR,11233,Sim,0.00,0.08,0.18,0.00
Corumbá de Goiás,GO,11223,Não,0.02,--,0.35,0.00
Chorrochó,BA,11221,Em elaboração,0.47,0.75,0.75,--
Groaíras,CE,11219,Sim,0.42,--,0.20,0.14
Goianápolis,GO,11217,Não,0.07,--,0.09,0.00
Salgadinho,PE,11214,Não,0.66,--,--,--
Varre-Sai,RJ,11208,Não,0.70,--,0.11,0.02
São João do Paraíso,MA,11207,Não,--,--,0.51,--
Quebrangulo,AL,11202,Em elaboração,0.40,0.88,0.44,0.12
Areiópolis,SP,11186,Em elaboração,0.00,0.00,0.11,0.00
Cerro Corá,RN,11182,Sim,0.33,0.64,0.29,0.00
Fagundes,PB,11180,Em elaboração,0.48,--,0.51,0.00
Três Cachoeiras,RS,11174,Sim,0.75,--,0.02,0.00
Bernardino de Campos,SP,11168,Não,0.04,0.05,0.00,0.00
Barros Cassal,RS,11167,Sim,0.68,--,0.68,--
Montanhas,RN,11166,Em elaboração,0.00,--,0.10,0.00
Potengi,CE,11165,Em elaboração,0.61,--,--,0.03
Agrolândia,SC,11160,Sim,0.18,--,0.06,0.14
Rosário do Catete,SE,11158,Não,0.31,0.10,0.00,0.01
Cunha Porã,SC,11150,Sim,0.30,--,0.39,0.00
Igaratinga,MG,11146,Sim,0.43,0.18,0.17,0.00
Primeiro de Maio,PR,11138,Não,0.00,0.26,0.00,0.00
Juscimeira,MT,11124,Em elaboração,--,--,--,--
Inácio Martins,PR,11117,Em elaboração,0.30,0.78,0.33,0.00
São Gonçalo do Rio Abaixo,MG,11114,Em elaboração,0.00,0.00,0.48,0.13
São Pedro do Ivaí,PR,11109,Sim,0.07,0.48,0.10,0.00
Acari,RN,11106,Em elaboração,0.05,0.19,0.19,0.05
Catanduvas,SC,11106,Sim,0.03,0.43,0.00,0.00
Fervedouro,MG,11100,Sim,0.54,0.54,0.46,0.02
Maraial,PE,11098,Não,0.53,--,0.30,0.15
Pedralva,MG,11098,Não,0.51,0.57,0.27,0.01
São Jerônimo da Serra,PR,11088,Em elaboração,0.14,--,0.49,0.00
Iapu,MG,11085,Sim,0.36,0.30,0.31,0.00
Angélica,MS,11081,Sim,0.17,0.51,0.01,0.00
Urupá,RO,11081,Não,0.80,--,0.60,0.00
Aurelino Leal,BA,11079,Não,0.16,--,--,0.01
Itatuba,PB,11069,Não,0.46,--,0.64,0.05
Jardim Alegre,PR,11067,Sim,0.08,0.69,--,0.00
Dois Riachos,AL,11059,Sim,0.58,--,0.53,0.22
Mulungu,CE,11056,Sim,0.72,0.96,0.37,0.00
Pires Ferreira,CE,11052,Não,0.80,--,0.36,0.00
São Tomé,RN,11051,Em elaboração,0.25,0.69,--,--
Bananal,SP,11039,Não,0.19,0.24,0.20,0.01
Iuiú,BA,11038,Não,0.52,0.58,0.55,--
Itaueira,PI,11037,Em elaboração,0.27,--,0.44,0.01
Divinolândia,SP,11027,Sim,0.22,0.31,0.09,0.08
Afonso Bezerra,RN,11024,Não,0.47,0.56,--,--
Tacima,PB,11024,Sim,1.00,--,0.41,0.00
Uiramutã,RR,11014,Em elaboração,0.87,--,0.87,0.21
